Wine Type,Price Category,Price,Season,Purchase Date
Sparkling,Expensive,201.95,Spring,2023-12-27
Rosé,Expensive,293.11,Winter,2023-01-27
Sparkling,Cheap,39.56,Summer,2023-04-08
Sparkling,Cheap,40.12,Summer,2023-11-19
White,Expensive,148.81,Summer,2023-08-04
Red,Medium,80.28,Spring,2023-02-19
White,Expensive,188.92,Summer,2023-07-05
Sparkling,Medium,100.89,Winter,2023-08-05
Sparkling,Medium,105.6,Spring,2023-02-25
Sparkling,Expensive,237.16,Winter,2023-04-06
Rosé,Expensive,263.92,Autumn,2023-03-18
Sparkling,Expensive,193.39,Summer,2023-05-19
White,Expensive,286.27,Winter,2023-04-07
Rosé,Medium,102.73,Summer,2023-03-25
Red,Medium,61.11,Autumn,2023-07-09
Rosé,Cheap,34.11,Winter,2023-05-05
White,Cheap,53.3,Autumn,2023-10-13
White,Expensive,218.87,Spring,2023-06-14
Sparkling,Expensive,157.39,Spring,2023-10-06
Sparkling,Medium,77.56,Winter,2023-08-23
Red,Cheap,50.76,Winter,2023-06-08
Red,Medium,81.71,Summer,2023-04-05
Red,Cheap,50.8,Winter,2023-09-10
Sparkling,Medium,93.21,Spring,2023-10-15
Rosé,Medium,104.21,Summer,2023-07-27
Red,Medium,81.55,Winter,2023-08-16
Red,Expensive,185.75,Summer,2023-06-06
White,Medium,68.24,Autumn,2023-03-10
Red,Expensive,281.77,Winter,2023-12-28
Sparkling,Cheap,32.67,Spring,2023-07-25
Rosé,Medium,86.83,Summer,2023-09-20
Red,Expensive,268.48,Spring,2023-08-06
Red,Expensive,230.01,Autumn,2023-01-05
Sparkling,Cheap,43.03,Summer,2023-12-14
Rosé,Medium,100.29,Autumn,2023-05-04
Sparkling,Cheap,39.61,Summer,2023-05-25
Red,Cheap,54.43,Winter,2023-05-10
Sparkling,Medium,92.97,Summer,2023-10-11
Red,Expensive,190.52,Summer,2023-04-18
White,Expensive,260.44,Summer,2023-02-23
Red,Medium,89.2,Autumn,2023-11-02
Sparkling,Expensive,243.67,Winter,2023-05-05
Red,Cheap,53.99,Autumn,2023-10-10
Sparkling,Medium,66.68,Winter,2023-01-13
Rosé,Medium,108.58,Autumn,2023-02-18
White,Cheap,51.16,Autumn,2023-01-13
White,Expensive,262.95,Summer,2023-09-13
Sparkling,Cheap,38.39,Summer,2023-10-17
Red,Medium,112.18,Winter,2023-09-22
Rosé,Cheap,58.26,Spring,2023-12-18
Rosé,Medium,106.59,Summer,2023-05-12
Rosé,Expensive,184.79,Autumn,2023-01-28
White,Expensive,136.49,Autumn,2023-08-10
Sparkling,Medium,75.37,Summer,2023-07-15
Sparkling,Medium,66.6,Autumn,2023-06-22
Red,Cheap,46.45,Spring,2023-09-14
Red,Medium,74.0,Summer,2023-03-14
White,Cheap,30.65,Winter,2023-04-21
White,Expensive,262.65,Winter,2023-08-06
Rosé,Medium,94.82,Summer,2023-04-01
White,Medium,62.66,Winter,2023-12-01
Rosé,Expensive,138.53,Autumn,2023-02-09
White,Medium,97.45,Autumn,2023-08-06
Rosé,Expensive,224.84,Winter,2023-12-25
White,Cheap,41.94,Autumn,2023-12-25
Rosé,Expensive,218.08,Winter,2023-02-15
White,Medium,64.84,Summer,2023-12-12
Red,Cheap,38.39,Summer,2023-11-27
Sparkling,Expensive,273.58,Winter,2023-08-21
Sparkling,Cheap,41.23,Spring,2023-05-08
Rosé,Cheap,36.64,Spring,2023-10-26
Red,Expensive,148.14,Summer,2023-05-24
Rosé,Medium,72.19,Summer,2023-01-12
White,Expensive,135.16,Winter,2023-10-02
Rosé,Cheap,56.06,Autumn,2023-12-25
White,Expensive,217.37,Autumn,2023-07-13
Rosé,Expensive,172.4,Winter,2023-03-10
Rosé,Cheap,53.61,Winter,2023-05-28
Sparkling,Medium,93.56,Autumn,2023-12-13
Sparkling,Medium,74.93,Summer,2023-01-26
Red,Expensive,206.67,Autumn,2023-12-07
Red,Cheap,41.43,Summer,2023-03-05
Rosé,Expensive,233.5,Spring,2023-05-19
Rosé,Cheap,42.87,Summer,2023-01-27
White,Cheap,39.19,Spring,2023-11-08
Sparkling,Medium,67.08,Winter,2023-11-23
Rosé,Expensive,256.2,Winter,2023-06-27
White,Expensive,242.48,Summer,2023-10-18
Rosé,Expensive,286.85,Spring,2023-02-13
Sparkling,Cheap,46.3,Winter,2023-07-04
Rosé,Cheap,56.44,Spring,2023-12-12
Sparkling,Cheap,42.5,Autumn,2023-10-19
White,Expensive,139.37,Summer,2023-06-17
Sparkling,Expensive,128.38,Summer,2023-03-24
White,Medium,89.85,Summer,2023-08-15
Red,Medium,93.87,Autumn,2023-04-27
Red,Cheap,45.26,Winter,2023-06-12
Rosé,Medium,87.04,Winter,2023-05-13
Red,Medium,92.01,Summer,2023-12-01
Rosé,Cheap,50.4,Spring,2023-01-09
Red,Cheap,39.12,Spring,2023-06-26
White,Medium,104.79,Summer,2023-12-07
White,Expensive,232.44,Autumn,2023-02-01
Red,Cheap,43.26,Spring,2023-01-01
White,Expensive,211.36,Summer,2023-10-13
Sparkling,Cheap,45.11,Summer,2023-09-20
Rosé,Medium,104.18,Spring,2023-06-20
White,Medium,111.47,Autumn,2023-04-11
Red,Expensive,158.0,Summer,2023-07-25
White,Cheap,42.8,Summer,2023-07-28
Red,Cheap,32.2,Spring,2023-09-03
Rosé,Expensive,248.15,Spring,2023-03-25
Rosé,Cheap,53.76,Summer,2023-02-26
Sparkling,Cheap,34.44,Summer,2023-02-14
Red,Medium,77.94,Winter,2023-07-27
Rosé,Cheap,57.3,Spring,2023-06-16
Sparkling,Expensive,143.6,Autumn,2023-07-05
Sparkling,Cheap,50.87,Summer,2023-02-04
Rosé,Medium,116.1,Winter,2023-04-10
Sparkling,Expensive,296.58,Summer,2023-01-07
Red,Cheap,43.24,Summer,2023-02-26
Red,Expensive,155.08,Autumn,2023-09-27
Sparkling,Cheap,54.92,Spring,2023-08-18
Sparkling,Cheap,30.47,Summer,2023-08-12
Sparkling,Medium,96.45,Autumn,2023-11-20
Sparkling,Expensive,164.19,Spring,2023-11-04
Sparkling,Medium,76.41,Autumn,2023-02-26
White,Medium,93.38,Autumn,2023-10-20
Red,Cheap,51.9,Spring,2023-11-24
Sparkling,Cheap,32.43,Summer,2023-06-20
Rosé,Expensive,125.79,Autumn,2023-01-21
Red,Cheap,43.49,Autumn,2023-07-10
White,Cheap,40.33,Autumn,2023-01-09
Rosé,Cheap,31.98,Spring,2023-06-27
Red,Expensive,132.01,Winter,2023-11-06
Red,Expensive,198.15,Autumn,2023-05-06
White,Cheap,57.16,Summer,2023-03-03
Red,Expensive,127.43,Winter,2023-09-01
White,Expensive,179.9,Autumn,2023-02-02
Rosé,Medium,64.12,Autumn,2023-11-10
Rosé,Expensive,280.18,Spring,2023-09-21
Rosé,Medium,66.82,Autumn,2023-07-09
Red,Medium,104.02,Autumn,2023-05-19
White,Cheap,47.59,Autumn,2023-08-16
White,Expensive,191.44,Spring,2023-08-21
Rosé,Medium,113.42,Winter,2023-01-23
Sparkling,Medium,87.1,Summer,2023-08-26
Red,Cheap,44.59,Autumn,2023-02-23
White,Cheap,40.99,Autumn,2023-08-17
Sparkling,Medium,110.85,Spring,2023-08-22
Rosé,Medium,72.55,Autumn,2023-09-02
Rosé,Expensive,147.57,Spring,2023-10-23
White,Cheap,48.88,Spring,2023-01-05
Sparkling,Medium,119.54,Summer,2023-08-27
Sparkling,Cheap,32.3,Spring,2023-07-06
Rosé,Expensive,144.51,Summer,2023-11-13
Sparkling,Medium,91.21,Winter,2023-07-13
Red,Medium,118.05,Winter,2023-03-11
Sparkling,Medium,94.42,Summer,2023-03-25
Rosé,Cheap,54.93,Winter,2023-11-23
Red,Cheap,47.09,Summer,2023-11-16
Sparkling,Cheap,45.41,Summer,2023-10-12
Red,Cheap,39.83,Winter,2023-04-10
White,Cheap,36.33,Winter,2023-07-18
Rosé,Medium,114.18,Winter,2023-01-24
Red,Expensive,210.41,Autumn,2023-01-14
White,Cheap,44.64,Autumn,2023-02-12
Rosé,Expensive,225.79,Winter,2023-02-04
Sparkling,Expensive,164.65,Summer,2023-03-25
Rosé,Expensive,146.7,Winter,2023-10-22
Red,Medium,75.09,Autumn,2023-12-18
White,Medium,107.46,Autumn,2023-05-20
Sparkling,Cheap,57.79,Winter,2023-04-09
Sparkling,Cheap,39.36,Spring,2023-08-18
Red,Expensive,255.61,Spring,2023-04-06
Rosé,Medium,62.39,Autumn,2023-09-11
Sparkling,Expensive,193.66,Autumn,2023-06-20
Sparkling,Cheap,43.16,Summer,2023-06-23
Sparkling,Cheap,44.75,Spring,2023-10-10
Rosé,Cheap,46.11,Summer,2023-12-19
Rosé,Expensive,190.68,Summer,2023-07-23
White,Medium,95.65,Autumn,2023-09-01
White,Expensive,248.39,Autumn,2023-12-16
Rosé,Medium,117.72,Summer,2023-04-07
Red,Medium,89.16,Summer,2023-08-02
Rosé,Medium,108.97,Summer,2023-10-07
Red,Expensive,286.91,Winter,2023-09-20
Red,Medium,101.12,Autumn,2023-02-28
Red,Medium,119.8,Spring,2023-02-01
Rosé,Cheap,46.75,Summer,2023-11-04
White,Cheap,33.35,Summer,2023-08-19
Red,Expensive,169.11,Summer,2023-09-01
Sparkling,Expensive,161.02,Summer,2023-03-21
Sparkling,Medium,81.96,Winter,2023-11-28
White,Medium,117.49,Spring,2023-04-25
Rosé,Expensive,203.07,Autumn,2023-01-04
White,Expensive,149.93,Spring,2023-07-07
Red,Expensive,253.29,Summer,2023-11-10
Red,Expensive,153.86,Spring,2023-08-21
Rosé,Medium,85.83,Spring,2023-06-15
